cik,start_date,end_date,label
0000844985,20110828,20140828,1
0000851726,20110826,20140826,1
0000314712,20110818,20140818,1
0001124608,20110809,20140809,1
0000844887,20110806,20140806,1
0000943110,20110723,20140723,1
0001259550,20110623,20140623,1
0001066134,20110504,20140504,1
0001060990,20110317,20140317,1
0001487920,20110317,20140317,1
0000093456,20110312,20140312,1
0001376610,20110310,20140310,1
0001092839,20110308,20140308,1
0001364100,20110303,20140303,1
0001383960,20110227,20140227,1
0001397966,20110212,20140212,1
0000096289,20110205,20140205,1
0000350199,20110204,20140204,1
0000863456,20110115,20140115,1
0000351298,20110104,20140104,1
0001296391,20101229,20131229,1
0000804154,20101205,20131205,1
0001230355,20101112,20131112,1
0001107332,20101110,20131110,1
0001122860,20101023,20131023,1
0000030302,20101012,20131012,1
0001405424,20100924,20130924,1
0000357108,20100923,20130923,1
0001009908,20100917,20130917,1
0001010086,20100916,20130916,1
0001322439,20100806,20130806,1
0001476719,20100711,20130711,1
0000739878,20100618,20130618,1
0001326200,20100421,20130421,1
0000941020,20100418,20130418,1
0001024321,20100415,20130415,1
0001018005,20100411,20130411,1
0001479426,20100407,20130407,1
0001051999; 0001297720,20100407,20130407,1
0001165271,20100321,20130321,1
0001163332,20100313,20130313,1
0000869487,20100311,20130311,1
0001065059,20100305,20130305,1
0000946090,20100210,20130210,1
0001324759,20100210,20130210,1
0000703339,20091230,20121230,1
0000944739,20091121,20121121,1
0001014763,20091031,20121031,1
0000722104,20091014,20121014,1
0000928659,20091003,20121003,1
0001579684; 0001368900; 0001056464,20090927,20120927,1
0000050957,20090909,20120909,1
0001262751,20090729,20120729,1
0000938320,20090724,20120724,1
0001113306,20090723,20120723,1
0001178336,20090702,20120702,1
0001289701,20090627,20120627,1
0000896842,20090617,20120617,1
0001014052; 0001016380,20090530,20120530,1
0001403548,20090510,20120510,1
0001075773,20090507,20120507,1
0001176325,20090503,20120503,1
0001031425,20090425,20120425,1
0001288359,20090324,20120324,1
0000895541,20090311,20120311,1
0001120830,20090208,20120208,1
0001020448,20090131,20120131,1
0001376668,20090128,20120128,1
0001055454,20090128,20120128,1
0001123541,20090111,20120111,1
0000810208,20081221,20111221,1
0000865570,20081219,20111219,1
0000839441; 0001086210,20081217,20111217,1
0001369233,20081214,20111214,1
0001455965,20081213,20111213,1
0001086533,20081119,20111119,1
0001274563,20081115,20111115,1
0000075208,20081114,20111114,1
0000810365,20081113,20111113,1
0001425627,20081106,20111106,1
0001308332; 0001139950,20081106,20111106,1
0001068912,20081028,20111028,1
0001167178,20081016,20111016,1
0000909992,20081012,20111012,1
0001171032,20081003,20111003,1
0001022430,20080918,20110918,1
0001490930,20080911,20110911,1
0001119643,20080831,20110831,1
0001102238; 0000827165,20080829,20110829,1
0001316410,20080816,20110816,1
0000840264,20080809,20110809,1
0000880643,20080803,20110803,1
0001097575,20080801,20110801,1
0001434893,20080730,20110730,1
0001045014,20080702,20110702,1
0000356708,20080619,20110619,1
0001424280,20080613,20110613,1
0000831246,20080604,20110604,1
0001332815,20080514,20110514,1
0001024452,20080415,20110415,1
0000868756,20080413,20110413,1
0001369444,20080412,20110412,1
0001030058,20080330,20110330,1
0000853695,20080325,20110325,1
0000356591; 0001170857,20080316,20110316,1
0001114605,20080227,20110227,1
0001377720,20080223,20110223,1
0000032878,20080214,20110214,1
0000031235,20080119,20110119,1
0000859475,20080104,20110104,1
0001367387,20071215,20101215,1
0000821483,20071215,20101215,1
0001062312,20071214,20101214,1
0000058361,20071212,20101212,1
0000006201,20071129,20101129,1
0000935724,20071123,20101123,1
0001401106,20071031,20101031,1
0000016104,20071019,20101019,1
0001179011,20071018,20101018,1
0000833203,20071007,20101007,1
0001076770,20071004,20101004,1
0000027613,20071003,20101003,1
0000943894,20070930,20100930,1
0001043156,20070928,20100928,1
0000744962,20070826,20100826,1
0001369919; 0001416712,20070824,20100824,1
0000947397,20070815,20100815,1
0001432244,20070808,20100808,1
0001166414,20070708,20100708,1
0001324915,20070708,20100708,1
0001160084,20070616,20100616,1
0000002145,20070526,20100526,1
0000858155,20070520,20100520,1
0001088734,20070519,20100519,1
0000821536,20070516,20100516,1
0001338949,20070429,20100429,1
0001095751,20070428,20100428,1
0000897861,20070427,20100427,1
0000317477,20070410,20100410,1
0000883697,20070408,20100408,1
0000946842,20070401,20100401,1
0001076462,20070328,20100328,1
0000354699,20070315,20100315,1
0001450074,20070304,20100304,1
0000940510,20070216,20100216,1
0000771729,20070215,20100215,1
0000835688,20070214,20100214,1
0001452384,20070211,20100211,1
0001123195,20070201,20100201,1
0000870228,20070128,20100128,1
0001094572,20070121,20100121,1
0001042418,20070120,20100120,1
0001047499,20070118,20100118,1
0001095274,20061231,20091231,1
0001234383,20061230,20091230,1
0001100674,20061228,20091228,1
0000841123,20061228,20091228,1
0000923473,20061129,20091129,1
0001288195,20061119,20091119,1
0001289255,20061117,20091117,1
0000874501,20061108,20091108,1
0001284453,20061108,20091108,1
0001335288,20061101,20091101,1
0000716214,20061007,20091007,1
0001083036,20060928,20090928,1
0001099980,20060924,20090924,1
0000710979; 0001085734,20060923,20090923,1
0001402364,20060920,20090920,1
0001219097,20060916,20090916,1
0001010759; 0001063997,20060910,20090910,1
0000921549,20060825,20090825,1
0001051379,20060820,20090820,1
0000714756,20060819,20090819,1
0000084919,20060817,20090817,1
0001157443,20060816,20090816,1
0001094320,20060730,20090730,1
0000805012,20060729,20090729,1
0001059397,20060727,20090727,1
0001084727,20060722,20090722,1
0001201251,20060709,20090709,1
0001163958,20060702,20090702,1
0001170605,20060624,20090624,1
0001180743,20060602,20090602,1
0001304366,20060528,20090528,1
0001143566,20060528,20090528,1
0001016933,20060514,20090514,1
0001330487,20060511,20090511,1
0001161924,20060430,20090430,1
0001073429; 0001307784,20060429,20090429,1
0000895012; 0000899166,20060414,20090414,1
0000866734,20060408,20090408,1
0001050112,20060315,20090315,1
0001140586,20060305,20090305,1
0001499832; 0000913015,20060301,20090301,1
0001129695,20060211,20090211,1
0000855667,20060203,20090203,1
0000925178,20060202,20090202,1
0001131517; 0001139029,20060115,20090115,1
0001454238,20060113,20090113,1
0001115552,20060108,20090108,1
0000810332,20060105,20090105,1
0001345059,20051230,20081230,1
0001061580,20051124,20081124,1
0000814068,20051115,20081115,1
0001340744,20051111,20081111,1
0001063537; 0001365889,20051110,20081110,1
0001172678,20051106,20081106,1
0001171825; 0000020388,20051101,20081101,1
0001288946,20051029,20081029,1
0001118961,20051028,20081028,1
0001406508,20051025,20081025,1
0001374835,20051014,20081014,1
0001078203,20050928,20080928,1
0001098075,20050922,20080922,1
0001362614,20050915,20080915,1
0000861955,20050915,20080915,1
0001171017,20050901,20080901,1
0000092339,20050825,20080825,1
0000923529,20050819,20080819,1
0000911149,20050818,20080818,1
0001063262,20050810,20080810,1
0000878731,20050805,20080805,1
0001320461,20050803,20080803,1
0000925464,20050731,20080731,1
0000840256,20050721,20080721,1
0001072702,20050717,20080717,1
0001239819,20050717,20080717,1
0001352045,20050716,20080716,1
0000815508,20050716,20080716,1
0001140472,20050714,20080714,1
0000356830,20050713,20080713,1
0000902281,20050709,20080709,1
0000842162,20050707,20080707,1
0000948844,20050702,20080702,1
0000943655,20050626,20080626,1
0001309450,20050626,20080626,1
0001000368,20050623,20080623,1
0001345968,20050617,20080617,1
0001046356; 0001574815,20050616,20080616,1
0001002579; 0001581164,20050615,20080615,1
0000701374,20050613,20080613,1
0000040730,20050601,20080601,1
0000920947,20050601,20080601,1
0001039971,20050531,20080531,1
0001111335,20050528,20080528,1
0001030339,20050513,20080513,1
0001004740,20050511,20080511,1
0001108955,20050505,20080505,1
0001440300,20050501,20080501,1
0001321544,20050428,20080428,1
0000755686; 0000909326,20050420,20080420,1
0001393066,20050416,20080416,1
0001034258,20050415,20080415,1
0001594968,20050413,20080413,1
0001068660,20050406,20080406,1
0001082484,20050405,20080405,1
0000718007,20050402,20080402,1
0000053453,20050331,20080331,1
0001114872,20050331,20080331,1
0000868512,20050331,20080331,1
0000719662,20050330,20080330,1
0000926617,20050330,20080330,1
0000019392; 0001091667,20050327,20080327,1
0001175636,20050326,20080326,1
0001097081,20050325,20080325,1
0001132645; 0001351379,20050320,20080320,1
0000009779,20050318,20080318,1
0001006837,20050316,20080316,1
0000912241,20050316,20080316,1
0000949876,20050311,20080311,1
0000314132,20050310,20080310,1
0000716823,20050310,20080310,1
0001121785,20050303,20080303,1
0000819551,20050302,20080302,1
0000783738,20050224,20080224,1
0001208833,20050219,20080219,1
0001330340,20050217,20080217,1
0001022080,20050212,20080212,1
0000723924,20050209,20080209,1
0001145202,20050206,20080206,1
0001042420,20050130,20080130,1
0000919226,20050126,20080126,1
0000790414,20050114,20080114,1
0001011509,20050112,20080112,1
0001530804,20050112,20080112,1
0000866535,20050110,20080110,1
0001362719,20050106,20080106,1
0000713492,20050105,20080105,1
0001085661,20041231,20071231,1
0000019731,20041229,20071229,1
0001325118,20041228,20071228,1
0001201259,20041219,20071219,1
0001089775,20041215,20071215,1
0001097181,20041205,20071205,1
0001004969,20041205,20071205,1
0001074436,20041204,20071204,1
0001018710,20041203,20071203,1
0001098278,20041202,20071202,1
0001351197,20041201,20071201,1
0000802481,20041201,20071201,1
0000877355,20041126,20071126,1
0001100981,20041118,20071118,1
0001360849,20041113,20071113,1
0001207070,20041112,20071112,1
0000104599,20041110,20071110,1
0000818682,20041107,20071107,1
0001289871; 0001201993,20041106,20071106,1
0001069249,20041105,20071105,1
0000783211,20041031,20071031,1
0000864601; 0001075066,20041020,20071020,1
0000101704,20041019,20071019,1
0000934873,20041015,20071015,1
0000817785,20041013,20071013,1
0001103764,20041010,20071010,1
0001112782; 0000071478,20041003,20071003,1
0001070289,20041001,20071001,1
0001545078; 0000933136,20040926,20070926,1
0001123648,20040923,20070923,1
0001107601,20040915,20070915,1
0001016607,20040911,20070911,1
0000935066,20040902,20070902,1
0001051985,20040819,20070819,1
0000811828,20040810,20070810,1
0000843494,20040805,20070805,1
0001343957,20040731,20070731,1
0001357800,20040723,20070723,1
0001232229,20040708,20070708,1
0000859916,20040623,20070623,1
0001056748,20040613,20070613,1
0001265700,20040613,20070613,1
0001083132,20040611,20070611,1
0001170016,20040604,20070604,1
0001117258,20040530,20070530,1
0001140298,20040515,20070515,1
0001017156,20040515,20070515,1
0000797448,20040425,20070425,1
0001372326,20040424,20070424,1
0001236038,20040417,20070417,1
0000354767,20040407,20070407,1
0001168940,20040331,20070331,1
0000796735,20040330,20070330,1
0000895716; 0001326299,20040326,20070326,1
0001132784,20040314,20070314,1
0001070630,20040308,20070308,1
0001084486,20040303,20070303,1
0000881468,20040221,20070221,1
0001138593,20040220,20070220,1
0001143997,20040220,20070220,1
0000811696,20040219,20070219,1
0001191383; 0001046578,20040129,20070129,1
0000351917,20040109,20070109,1
0000841866,20031227,20061227,1
0001316826,20031218,20061218,1
0001071220,20031207,20061207,1
0001297385; 0001285206,20031207,20061207,1
0001029284; 0000910655,20031130,20061130,1
0001003429,20031126,20061126,1
0000799097,20031126,20061126,1
0000311871,20031119,20061119,1
0001023139,20031114,20061114,1
0000894544,20031030,20061030,1
0001099217; 0001099218,20031018,20061018,1
0001135264,20031009,20061009,1
0001272942,20031001,20061001,1
0001117034,20030927,20060927,1
0001061029,20030921,20060921,1
0000791115,20030920,20060920,1
0001317890; 0000837038,20030919,20060919,1
0001119190,20030906,20060906,1
0000103341,20030816,20060816,1
0001256536,20030806,20060806,1
0000884321,20030720,20060720,1
0001268471,20030711,20060711,1
0001143799,20030629,20060629,1
0001112424,20030514,20060514,1
0001093546,20030508,20060508,1
0000109870,20030427,20060427,1
0000818074,20030425,20060425,1
0001162721,20030403,20060403,1
0001107802,20030302,20060302,1
0001092605,20030214,20060214,1
0001096509,20030207,20060207,1
0001133598,20030123,20060123,1
0000093542,20030112,20060112,1
0000814580,20021229,20051229,1
0001160437,20021227,20051227,1
0001029738,20021129,20051129,1
0001057232,20021101,20051101,1
0000088095,20021015,20051015,1
0001136294,20020928,20050928,1
0000085417,20020918,20050918,1
0000820408,20020823,20050823,1
0001190370,20020816,20050816,1
0000722839,20020707,20050707,1
0000099321,20020619,20050619,1
0000879813,20020508,20050508,1
0001210936,20020419,20050419,1
0000855581,20020329,20050329,1
0001163968,20020307,20050307,1
0000026780,20020303,20050303,1
0001169709,20020220,20050220,1
0001048268,20020214,20050214,1
0000946661,20020202,20050202,1
0001701758,20020130,20050130,1
0001108951,20020109,20050109,1
0001044434,20011214,20041214,1
0000904020,20011107,20041107,1
0001493526,20011102,20041102,1
0001074530,20011016,20041016,1
0001099730,20011006,20041006,1
0000912926,20010929,20040929,1
0001083753,20010926,20040926,1
0000027904,20010914,20040914,1
0000032272,20010908,20040908,1
0000316672,20010803,20040803,1
0000863893,20010701,20040701,1
0000826253,20010627,20040627,1
0001100395,20010624,20040624,1
0000831115,20010615,20040615,1
0001112263,20010611,20040611,1
0000890784,20010602,20040602,1
0000230131,20010526,20040526,1
0000840823,20010519,20040519,1
0000106998; 0000846815,20010517,20040517,1
0000946283; 0001499684,20010506,20040506,1
0000760497,20010228,20040228,1
0000773318,20010228,20040228,1
0000029693,20010207,20040207,1
0000911626,20010111,20040111,1
0001129650,20010107,20040107,1
0001044324,20001216,20031216,1
0000768119,20001214,20031214,1
0001000459,20001129,20031129,1
0000100979,20001015,20031015,1
0001131806; 0001069450,20001006,20031006,1
0000079424,20001001,20031001,1
0000789879,20000930,20030930,1
0000924117,20000914,20030914,1
0001283016,20000903,20030903,1
0000804888,20000901,20030901,1
0001002178,20000803,20030803,1
0000895651,20000624,20030624,1
0001009652,20000610,20030610,1
0000092827,20000520,20030520,1
0001101152,20000514,20030514,1
0000918999,20000512,20030512,1
0001081004,20000429,20030429,1
0000858655; 0000909698,20000329,20030329,1
0000868075,20000324,20030324,1
0000713138,20000319,20030319,1
0000924140,20000203,20030203,1
0000923408; 0001646228,20000202,20030202,1
0001048157,20000202,20030202,1
0000885672,20000201,20030201,1
0001135185,20000130,20030130,1
0000947431,20000130,20030130,1
0001087329,20000123,20030123,1
0000910620,20000120,20030120,1
0001059623,20000117,20030117,1
0001051825,19991216,20021216,1
0001357615,19991216,20021216,1
0001060024; 0001033523,19991208,20021208,1
0000878720,19991204,20021204,1
0001142488,19991119,20021119,1
0000917770,19991114,20021114,1
0001089953,19991031,20021031,1
0000918577,19991023,20021023,1
0000203200,19991017,20021017,1
0000920279,19991015,20021015,1
0001003114,19990928,20020928,1
0000023304,19990924,20020924,1
0000315641,19990916,20020916,1
0000073088,19990914,20020914,1
0000917707,19990905,20020905,1
0000790526,19990904,20020904,1
0001015868,19990904,20020904,1
0000801550,19990825,20020825,1
0001087243,19990815,20020815,1
0001113920,19990815,20020815,1
0000902053,19990729,20020729,1
0001059976,19990724,20020724,1
0001029140,19990724,20020724,1
0000922404,19990721,20020721,1
0000945379,19990715,20020715,1
0001006269,19990715,20020715,1
0000736035,19990709,20020709,1
0000892553,19990708,20020708,1
0000930735,19990629,20020629,1
0001034072,19990627,20020627,1
0000004457,19990620,20020620,1
0001084573,19990619,20020619,1
0000819480,19990617,20020617,1
0001092536,19990610,20020610,1
0000934509,19990602,20020602,1
0000852952,19990601,20020601,1
0000898441,19990528,20020528,1
0000849979,19990519,20020519,1
0001058703,19990514,20020514,1
0000869494,19990514,20020514,1
0001013871,19990514,20020514,1
0000018530,19990513,20020513,1
0000921960,19990502,20020502,1
0000110740,19990502,20020502,1
0000030908,19990407,20020407,1
0001092233,19990404,20020404,1
0001172222; 0000046205,19990321,20020321,1
0001007594,19990321,20020321,1
0000850519,19990321,20020321,1
0001097002,19990320,20020320,1
0000019411,19990311,20020311,1
0001035426,19990310,20020310,1
0000882159,19990310,20020310,1
0000885546,19990304,20020304,1
0001097516,19990225,20020225,1
0000765414,19990220,20020220,1
0000869495,19990219,20020219,1
0001393883,19990214,20020214,1
0000910394,19990205,20020205,1
0001028361,19990131,20020131,1
0001082292,19990131,20020131,1
0000846469,19990124,20020124,1
0001031754,19990120,20020120,1
0000015678,19981231,20011231,1
0000942143,19981227,20011227,1
0000893139,19981218,20011218,1
0000003270,19981218,20011218,1
0000719241; 0001224608,19981217,20011217,1
0001068049,19981216,20011216,1
0001068292,19981213,20011213,1
0001080290,19981213,20011213,1
0000819255,19981212,20011212,1
0000716644,19981211,20011211,1
0001106928,19981209,20011209,1
0000100517,19981209,20011209,1
0000798539,19981202,20011202,1
0000843212,19981201,20011201,1
0001110794,19981127,20011127,1
0000800181,19981127,20011127,1
0000704508,19981125,20011125,1
0001113836,19981118,20011118,1
0001081015,19981114,20011114,1
0001080634,19981113,20011113,1
0000927790,19981031,20011031,1
0000906609,19981018,20011018,1
0001070602,19981011,20011011,1
0000829549,19981010,20011010,1
0000917464; 0001219702,19981008,20011008,1
0001052246,19981004,20011004,1
0001092319,19981003,20011003,1
0000878230,19980925,20010925,1
0000779733; 0001661181,19980925,20010925,1
0000727672,19980913,20010913,1
0001087831,19980912,20010912,1
0001022581,19980903,20010903,1
0001084722,19980822,20010822,1
0001065910,19980805,20010805,1
0001183920,19980801,20010801,1
0001000578,19980730,20010730,1
0000922471,19980729,20010729,1
0001000876,19980724,20010724,1
0000890924,19980628,20010628,1
0001328792,19980625,20010625,1
0001081665,19980604,20010604,1
0000779334,19980603,20010603,1
0001050504,19980523,20010523,1
0000885741,19980509,20010509,1
0000089615,19980430,20010430,1
0001078577,19980417,20010417,1
0001041623,19980329,20010329,1
0001039208,19980323,20010323,1
0000841555,19980308,20010308,1
0001027377,19980308,20010308,1
0000841054,19980307,20010307,1
0000070578,19980306,20010306,1
0001007581,19980301,20010301,1
0000889872,19980225,20010225,1
0001000577,19980225,20010225,1
0000872867,19980224,20010224,1
0000913159,19980221,20010221,1
0000918275,19980220,20010220,1
0001061583,19980215,20010215,1
0001012176,19980213,20010213,1
0000811596,19980212,20010212,1
0000908797,19980206,20010206,1
0001037067,19980205,20010205,1
0001060531,19980124,20010124,1
0000923899,19980124,20010124,1
0000104218,19980114,20010114,1
0000853271,19971220,20001220,1
0000761682,19971220,20001220,1
0001006598,19971211,20001211,1
0001289945; 0000915390; 0000880888,19971206,20001206,1
0001038284,19971130,20001130,1
0001074908,19971120,20001120,1
0001099363,19971116,20001116,1
0000946392,19971114,20001114,1
0001097523,19971113,20001113,1
0000850316,19971107,20001107,1
0000040518,19971102,20001102,1
0000315136,19971019,20001019,1
0000006260,19971019,20001019,1
0000913364,19971018,20001018,1
0000925779,19971018,20001018,1
0000011860,19971015,20001015,1
0001098570,19971011,20001011,1
0001078404,19971010,20001010,1
0001081404,19971005,20001005,1
0001055458,19971005,20001005,1
0001055468,19971002,20001002,1
0001020620,19970928,20000928,1
0001013740,19970926,20000926,1
0000721675,19970924,20000924,1
0000888918,19970921,20000921,1
0001124073; 0001060356,19970918,20000918,1
0000912083,19970829,20000829,1
0000006071,19970820,20000820,1
0000832320; 0001026506,19970815,20000815,1
0001113129,19970814,20000814,1
0000946323,19970813,20000813,1
0000737203,19970808,20000808,1
0000869486,19970807,20000807,1
0000866491,19970806,20000806,1
0001065869,19970801,20000801,1
0001036260,19970723,20000723,1
0000701974,19970720,20000720,1
0000896145,19970718,20000718,1
0001065253,19970717,20000717,1
0001022191,19970716,20000716,1
0000795662,19970716,20000716,1
0001092657,19970713,20000713,1
0000925660,19970703,20000703,1
0000225569,19970702,20000702,1
0001048845,19970702,20000702,1
0001082193,19970515,20000515,1
0001063921,19970501,20000501,1
0000904898,19970501,20000501,1
0000721176,19970430,20000430,1
0000354761,19970427,20000427,1
0001037737,19970427,20000427,1
0000843297,19970426,20000426,1
0001071645,19970424,20000424,1
0000842807,19970418,20000418,1
0000843650,19970417,20000417,1
0000875942,19970406,20000406,1
0001054748,19970406,20000406,1
0001045309,19970402,20000402,1
0000864902,19970330,20000330,1
0001059838,19970329,20000329,1
0000763098,19970329,20000329,1
0000932140,19970322,20000322,1
0001022828,19970319,20000319,1
0001026486,19970313,20000313,1
0000883701,19970307,20000307,1
0000070412,19970305,20000305,1
0001004232,19970302,20000302,1
0001028079,19970302,20000302,1
0001051285,19970222,20000222,1
0001024678,19970222,20000222,1
0001015663,19970216,20000216,1
0001004991,19970208,20000208,1
0001021706,19970205,20000205,1
0001000897,19970201,20000201,1
0001415306; 0001371466,19970131,20000131,1
0001056312,19970129,20000129,1
0001080558,19970116,20000116,1
0001030108,19970111,20000111,1
0000891933,19970105,20000105,1
0001004967,19961229,19991229,1
0000887356,19961226,19991226,1
0000073093,19961219,19991219,1
0000940034,19961218,19991218,1
0000057201,19961214,19991214,1
0001362468,19961213,19991213,1
0001038827,19961207,19991207,1
0000007431,19961206,19991206,1
0001002131,19961129,19991129,1
0001067064,19961108,19991108,1
0001038370,19961023,19991023,1
0000873601,19961006,19991006,1
0001370946,19961005,19991005,1
0001002628,19960922,19990922,1
0001058416; 0001064922; 0001361983; 0001021649,19960915,19990915,1
0001022832,19960831,19990831,1
0000046601,19960816,19990816,1
0000355701,19960814,19990814,1
0000812882,19960811,19990811,1
0000924174,19960808,19990808,1
0000867572,19960720,19990720,1
0000353646,19960719,19990719,1
0000910168,19960714,19990714,1
0000064472,19960511,19990511,1
0000818467,19960502,19990502,1
0000892433,19960405,19990405,1
0001710155; 0000868263,19960405,19990405,1
0000924374,19960404,19990404,1
0000948073,19960315,19990315,1
0000766738,19960310,19990310,1
0001043839,19960307,19990307,1
0000778718,19960229,19990301,1
0000906613,19960222,19990222,1
0001016694,19960203,19990203,1
0000785814,19960202,19990202,1
0001031176,19960127,19990127,1
0000876320,19960125,19990125,1
0000005588; 0000817647,19960110,19990110,1
0000832820,19960105,19990105,1
0000791182,19951228,19981228,1
0000910562,19951220,19981220,1
0000936448,19951220,19981220,1
0000706597,19951201,19981201,1
0000855359,19950907,19980907,1
0000877210,19950901,19980901,1
0000921863,19950810,19980810,1
0000080968,19950729,19980729,1
0000944838,19950721,19980721,1
0000858710,19950715,19980715,1
0000923020,19950622,19980622,1
0000046026,19950610,19980610,1
0000900392,19950420,19980420,1
0001029672,19950217,19980217,1
0000811664,19950212,19980212,1
0001128709; 0000860192,19950201,19980201,1
0000910112,19950122,19980122,1
0000024077,19950113,19980113,1
0000890093,19941227,19971227,1
0001005509,19941221,19971221,1
0000847931,19941210,19971210,1
0001013627,19941130,19971130,1
0001017546,19941021,19971021,1
0000879712,19940911,19970911,1
0000920528,19940821,19970821,1
0000090357,19940810,19970810,1
0000920173,19940719,19970719,1
0000844843,19940629,19970629,1
0000319037,19940505,19970505,1
0001003504,19940406,19970406,1
0000892142,19940401,19970401,1
0000726977,19940318,19970318,1
0000731625,19940316,19970316,1
0000813013,19940313,19970313,1
0001004968,19940312,19970312,1
0000094945,19940309,19970309,1
0000916844,19940226,19970226,1
0000860420,19940202,19970202,1
0000820957,19940123,19970123,1
0000793937,19940113,19970113,1
0000766823,19940109,19970109,1
0000882970,19931230,19961230,1
0000875620,19931130,19961130,1
0001004545,19931105,19961105,1
0000934924,19931006,19961006,1
