[06.01.20 00:46:52] Args: {
    "batch_size": 64,
    "class_weights": [
        0.64205186,
        2.25992063
    ],
    "company_files": "dataset.csv",
    "data_shuffle": false,
    "dataset_version": "0.0.1",
    "decay_rate": 0.95,
    "decay_steps": 10000,
    "download_path": "~",
    "drop_prob": 0.4,
    "eval_steps": 100,
    "hidden_size": 1024,
    "input_dir": "./data",
    "learning_rate": 0.5,
    "load_path": null,
    "log_device_placement": false,
    "max_checkpoints": 5,
    "max_document_size": 250,
    "max_sentence_length": 512,
    "metric_name": "mse_loss",
    "model": "baseline",
    "name": "baseline",
    "num_epochs": 50,
    "number_of_periods": 3,
    "optimizer": "Adadelta",
    "save_dir": "./save/",
    "seed": 224,
    "use_lr_scheduler": false
}
[06.01.20 00:50:15] Training step - 7 train_loss - 0.922885850071907, train_accuracy - 0.2542857229709625), train_recall_class_0 - 0.04089219495654106), train_recall_class_1 - 0.9629629850387573), train_precision_class_0 - 0.7857142686843872), train_precision_class_1 - 0.2321428507566452), train_auc - 0.21802449226379395)
[06.01.20 02:36:16] Training step - 181 train_loss - 0.5192964524030685, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9580652713775635)
[06.01.20 02:36:42] Training step - 181 dev_loss - 0.8245735168457031, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.695419430732727)
[06.01.20 02:39:53] Training step - 187 train_loss - 0.5187239944934845, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9544816017150879)
[06.01.20 02:40:18] Training step - 187 dev_loss - 0.8222640156745911, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6912551522254944)
[06.01.20 02:43:29] Training step - 193 train_loss - 0.5181867331266403, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.955453097820282)
[06.01.20 02:43:54] Training step - 193 dev_loss - 0.8199992179870605, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6924449801445007)
[06.01.20 02:47:06] Training step - 199 train_loss - 0.517682726184527, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9559918642044067)
[06.01.20 02:47:31] Training step - 199 dev_loss - 0.8177820444107056, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6960142254829407)
[06.01.20 02:48:11] Training step - 200 train_loss - 0.6037814617156982, train_accuracy - 0.9375), train_recall_class_0 - 0.9130434989929199), train_recall_class_1 - 1.0), train_precision_class_0 - 1.0), train_precision_class_1 - 0.8181818127632141), train_auc - 0.92578125)
[06.01.20 02:50:42] Training step - 205 train_loss - 0.5172100712855657, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9567590951919556)
[06.01.20 02:51:07] Training step - 205 dev_loss - 0.8156152367591858, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.697204053401947)
[06.01.20 02:54:19] Training step - 211 train_loss - 0.5167669504880905, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.95499587059021)
[06.01.20 02:54:44] Training step - 211 dev_loss - 0.8135010600090027, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.697204053401947)
[06.01.20 02:57:55] Training step - 217 train_loss - 0.516351543366909, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.955616295337677)
[06.01.20 02:58:20] Training step - 217 dev_loss - 0.8114421963691711, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6977989077568054)
[06.01.20 03:01:33] Training step - 223 train_loss - 0.515962173541387, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9560816287994385)
[06.01.20 03:01:58] Training step - 223 dev_loss - 0.8094406127929688, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6977989077568054)
[06.01.20 03:05:12] Training step - 229 train_loss - 0.5155971298615137, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9562774896621704)
[06.01.20 03:05:37] Training step - 229 dev_loss - 0.8074984550476074, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6980963945388794)
[06.01.20 03:08:50] Training step - 235 train_loss - 0.5152548973759016, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9567347168922424)
[06.01.20 03:09:14] Training step - 235 dev_loss - 0.8056173324584961, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6995835900306702)
[06.01.20 03:12:26] Training step - 241 train_loss - 0.5149339362978935, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9570122957229614)
[06.01.20 03:12:51] Training step - 241 dev_loss - 0.8037986755371094, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6983938217163086)
[06.01.20 03:16:02] Training step - 247 train_loss - 0.514632855852445, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.957265317440033)
[06.01.20 03:16:27] Training step - 247 dev_loss - 0.8020435571670532, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.698988676071167)
[06.01.20 03:19:37] Training step - 253 train_loss - 0.5143502900997797, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9572734832763672)
[06.01.20 03:20:02] Training step - 253 dev_loss - 0.8003528118133545, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.692444920539856)
[06.01.20 03:23:13] Training step - 259 train_loss - 0.5140850196282069, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9574366807937622)
[06.01.20 03:23:38] Training step - 259 dev_loss - 0.798726499080658, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.4545454680919647), dev_precision_class_0 - 0.8125), dev_precision_class_1 - 0.5555555820465088), dev_auc - 0.6900654435157776)
